"age","workclass","fnlwgt","education","education-num","marital-status","occupation","relationship","race","sex","capital-gain","capital-loss","hours-per-week","native-country","over50"
32," State-gov",117927," Some-college",10," Never-married"," Adm-clerical"," Not-in-family"," Black"," Female",0,0,40," United-States"," <=50K"
22," ?",131573," Some-college",10," Never-married"," ?"," Own-child"," White"," Female",0,0,8," United-States"," <=50K"
25," Private",66935," Bachelors",13," Never-married"," Other-service"," Other-relative"," White"," Male",0,0,40," United-States"," <=50K"
23," Private",210053," Some-college",10," Never-married"," Other-service"," Not-in-family"," White"," Female",0,0,28," United-States"," <=50K"
38," Private",224584," Some-college",10," Divorced"," Sales"," Unmarried"," Black"," Female",0,0,40," United-States"," <=50K"
34," Private",133122," Bachelors",13," Married-civ-spouse"," Exec-managerial"," Husband"," White"," Male",0,0,40," United-States"," <=50K"
55," Private",290124," 5th-6th",3," Married-civ-spouse"," Machine-op-inspct"," Husband"," White"," Male",0,0,40," Mexico"," <=50K"
36," Private",127809," HS-grad",9," Separated"," Other-service"," Unmarried"," Black"," Female",0,0,30," United-States"," <=50K"
36," Private",126946," Some-college",10," Separated"," Craft-repair"," Not-in-family"," White"," Male",0,0,40," United-States"," <=50K"
53," Private",151411," Bachelors",13," Married-civ-spouse"," Prof-specialty"," Husband"," White"," Male",0,0,45," United-States"," >50K"
22," Private",153323," Some-college",10," Never-married"," Prof-specialty"," Not-in-family"," Black"," Male",0,0,20," United-States"," <=50K"
22," Private",207940," Some-college",10," Never-married"," Handlers-cleaners"," Own-child"," White"," Female",0,0,36," United-States"," <=50K"
25," Private",1484705," Some-college",10," Divorced"," Exec-managerial"," Unmarried"," White"," Female",0,0,25," United-States"," <=50K"
30," Private",312667," Some-college",10," Married-civ-spouse"," Craft-repair"," Husband"," White"," Male",0,0,40," United-States"," <=50K"
46," Local-gov",141944," Bachelors",13," Married-civ-spouse"," Prof-specialty"," Husband"," White"," Male",0,0,38," United-States"," >50K"
17," Local-gov",192387," 9th",5," Never-married"," Other-service"," Own-child"," White"," Male",0,0,45," United-States"," <=50K"
42," Local-gov",121718," Masters",14," Married-civ-spouse"," Exec-managerial"," Husband"," White"," Male",0,1902,60," United-States"," >50K"
37," Private",265737," Some-college",10," Married-civ-spouse"," Exec-managerial"," Husband"," Black"," Male",0,1887,60," Cuba"," >50K"
31," Private",112627," HS-grad",9," Married-civ-spouse"," Transport-moving"," Husband"," Amer-Indian-Eskimo"," Male",0,0,40," United-States"," <=50K"
40," Local-gov",33274," HS-grad",9," Divorced"," Other-service"," Not-in-family"," White"," Female",0,0,50," United-States"," <=50K"
42," Self-emp-not-inc",69333," Bachelors",13," Married-civ-spouse"," Farming-fishing"," Husband"," White"," Male",0,0,50," United-States"," <=50K"
59," Private",113959," HS-grad",9," Married-civ-spouse"," Adm-clerical"," Husband"," White"," Male",0,0,45," United-States"," >50K"
45," Private",123681," HS-grad",9," Married-civ-spouse"," Sales"," Husband"," White"," Male",0,0,40," United-States"," >50K"
25," Private",190350," 10th",6," Married-civ-spouse"," Other-service"," Own-child"," White"," Female",0,0,35," United-States"," <=50K"
39," Self-emp-not-inc",50096," Some-college",10," Married-civ-spouse"," Farming-fishing"," Husband"," White"," Male",0,0,80," United-States"," <=50K"
37," Private",126675," Some-college",10," Married-civ-spouse"," Exec-managerial"," Husband"," White"," Male",0,0,57," United-States"," <=50K"
25," Private",109080," Some-college",10," Never-married"," Craft-repair"," Own-child"," White"," Male",0,0,55," United-States"," <=50K"
42," Self-emp-not-inc",101709," Assoc-voc",11," Married-civ-spouse"," Craft-repair"," Husband"," Asian-Pac-Islander"," Male",2885,0,40," United-States"," <=50K"
32," Federal-gov",249409," HS-grad",9," Never-married"," Other-service"," Own-child"," Black"," Male",0,0,40," United-States"," <=50K"
41," Private",274363," Some-college",10," Separated"," Sales"," Not-in-family"," White"," Male",0,0,80," United-States"," >50K"
24," Private",163053," Bachelors",13," Never-married"," Sales"," Not-in-family"," White"," Female",0,0,40," United-States"," <=50K"
52," Private",92968," Bachelors",13," Separated"," Exec-managerial"," Unmarried"," White"," Female",0,0,40," ?"," <=50K"
37," Private",294292," Prof-school",15," Married-civ-spouse"," Exec-managerial"," Husband"," White"," Male",0,0,40," United-States"," <=50K"
20," ?",114746," 11th",7," Married-spouse-absent"," ?"," Own-child"," Asian-Pac-Islander"," Female",0,1762,40," South"," <=50K"
24," Private",200967," HS-grad",9," Married-civ-spouse"," Craft-repair"," Wife"," White"," Female",0,0,36," United-States"," <=50K"
37," Private",166339," Some-college",10," Divorced"," Tech-support"," Unmarried"," White"," Female",0,0,40," United-States"," <=50K"
27," ?",280699," Some-college",10," Never-married"," ?"," Unmarried"," White"," Female",0,0,40," United-States"," <=50K"
32," Private",137875," Some-college",10," Divorced"," Sales"," Unmarried"," White"," Female",0,0,30," United-States"," <=50K"
25," Private",285367," HS-grad",9," Divorced"," Other-service"," Not-in-family"," White"," Male",0,0,50," United-States"," <=50K"
50," Private",92968," Bachelors",13," Never-married"," Sales"," Unmarried"," White"," Female",0,0,32," United-States"," <=50K"
71," Self-emp-not-inc",130731," HS-grad",9," Widowed"," Adm-clerical"," Not-in-family"," White"," Female",0,0,35," United-States"," <=50K"
34," Private",169605," 10th",6," Separated"," Other-service"," Unmarried"," White"," Female",0,0,36," United-States"," <=50K"
64," ?",34100," Some-college",10," Widowed"," ?"," Not-in-family"," White"," Male",0,0,4," United-States"," <=50K"
43," Private",105188," HS-grad",9," Never-married"," Other-service"," Not-in-family"," Black"," Male",0,0,40," Haiti"," <=50K"
28," Federal-gov",42003," Some-college",10," Married-civ-spouse"," Adm-clerical"," Husband"," White"," Male",0,0,40," United-States"," >50K"
69," Private",182862," HS-grad",9," Never-married"," Transport-moving"," Not-in-family"," White"," Male",15831,0,40," United-States"," >50K"
51," Private",204304," Some-college",10," Divorced"," Exec-managerial"," Not-in-family"," White"," Female",0,0,50," United-States"," >50K"
23," Private",142766," Some-college",10," Never-married"," Adm-clerical"," Own-child"," White"," Male",1055,0,20," United-States"," <=50K"
51," Private",200618," Bachelors",13," Married-civ-spouse"," Prof-specialty"," Husband"," White"," Male",0,0,40," United-States"," <=50K"
40," Local-gov",233891," HS-grad",9," Never-married"," Adm-clerical"," Unmarried"," Black"," Female",0,0,35," United-States"," <=50K"
24," Private",211129," Bachelors",13," Never-married"," Sales"," Own-child"," White"," Female",0,0,35," United-States"," <=50K"
53," Private",53812," Some-college",10," Widowed"," Exec-managerial"," Not-in-family"," White"," Female",0,0,54," United-States"," <=50K"
30," Private",177531," HS-grad",9," Never-married"," Sales"," Unmarried"," Black"," Female",0,0,25," United-States"," <=50K"
36," Self-emp-not-inc",36425," Some-college",10," Divorced"," Sales"," Unmarried"," White"," Female",0,0,35," United-States"," <=50K"
36," Self-emp-not-inc",35945," 7th-8th",4," Married-civ-spouse"," Machine-op-inspct"," Husband"," White"," Male",7298,0,45," United-States"," >50K"
49," State-gov",216734," Prof-school",15," Divorced"," Exec-managerial"," Not-in-family"," White"," Female",0,0,40," United-States"," <=50K"
49," State-gov",102308," Bachelors",13," Married-civ-spouse"," Prof-specialty"," Husband"," White"," Male",0,0,42," United-States"," >50K"
19," Private",100009," HS-grad",9," Never-married"," Craft-repair"," Not-in-family"," White"," Female",0,0,40," United-States"," <=50K"
18," Private",343059," Some-college",10," Never-married"," Sales"," Own-child"," White"," Female",0,0,40," United-States"," <=50K"
45," Private",243631," Doctorate",16," Married-civ-spouse"," Prof-specialty"," Husband"," Asian-Pac-Islander"," Male",0,0,45," China"," >50K"
68," Self-emp-not-inc",315859," 11th",7," Never-married"," Farming-fishing"," Unmarried"," White"," Male",0,0,20," United-States"," <=50K"
59," Private",95165," Doctorate",16," Married-civ-spouse"," Sales"," Husband"," White"," Male",0,0,40," United-States"," <=50K"
17," Private",114420," 11th",7," Never-married"," Sales"," Own-child"," White"," Female",0,0,30," United-States"," <=50K"
37," Private",167482," HS-grad",9," Never-married"," Machine-op-inspct"," Own-child"," White"," Male",0,0,40," United-States"," <=50K"
33," Private",215288," 11th",7," Never-married"," Handlers-cleaners"," Own-child"," Black"," Male",0,0,40," United-States"," <=50K"
29," Private",107812," HS-grad",9," Divorced"," Craft-repair"," Not-in-family"," White"," Male",0,0,40," United-States"," <=50K"
17," Self-emp-inc",61838," 10th",6," Never-married"," Craft-repair"," Own-child"," White"," Male",0,0,40," United-States"," <=50K"
51," Self-emp-not-inc",24790," Some-college",10," Married-civ-spouse"," Exec-managerial"," Husband"," White"," Male",0,0,99," United-States"," >50K"
67," Private",154035," HS-grad",9," Widowed"," Handlers-cleaners"," Other-relative"," Black"," Male",0,0,32," United-States"," <=50K"
45," Self-emp-not-inc",220978," HS-grad",9," Married-civ-spouse"," Exec-managerial"," Husband"," White"," Male",0,0,50," United-States"," <=50K"
38," Private",103323," HS-grad",9," Married-civ-spouse"," Exec-managerial"," Husband"," White"," Male",0,0,40," United-States"," <=50K"
60," State-gov",27037," HS-grad",9," Married-civ-spouse"," Protective-serv"," Husband"," Amer-Indian-Eskimo"," Male",0,0,40," United-States"," >50K"
23," Private",274797," HS-grad",9," Never-married"," Handlers-cleaners"," Own-child"," White"," Male",0,0,25," United-States"," <=50K"
40," Private",373050," 12th",8," Married-civ-spouse"," Other-service"," Husband"," White"," Male",0,0,40," ?"," <=50K"
52," ?",159755," Assoc-voc",11," Married-civ-spouse"," ?"," Husband"," White"," Male",0,0,50," United-States"," >50K"
35," Private",62669," Some-college",10," Married-civ-spouse"," Exec-managerial"," Husband"," White"," Male",0,0,55," United-States"," >50K"
59," Self-emp-not-inc",241297," Some-college",10," Widowed"," Farming-fishing"," Not-in-family"," White"," Female",6849,0,40," United-States"," <=50K"
27," Private",214858," Bachelors",13," Never-married"," Sales"," Own-child"," White"," Male",0,0,40," United-States"," <=50K"
24," Private",203518," Bachelors",13," Never-married"," Prof-specialty"," Not-in-family"," White"," Female",0,0,40," United-States"," <=50K"
24," Private",82804," HS-grad",9," Never-married"," Handlers-cleaners"," Unmarried"," Black"," Female",0,0,40," United-States"," <=50K"
58," Self-emp-not-inc",204816," Some-college",10," Married-civ-spouse"," Exec-managerial"," Husband"," White"," Male",0,0,60," United-States"," >50K"
22," Private",126945," Assoc-voc",11," Married-civ-spouse"," Tech-support"," Husband"," White"," Male",0,0,40," United-States"," <=50K"
57," State-gov",399246," Bachelors",13," Married-civ-spouse"," Adm-clerical"," Husband"," Asian-Pac-Islander"," Male",0,1485,40," China"," <=50K"
21," Private",25265," HS-grad",9," Never-married"," Craft-repair"," Own-child"," White"," Male",0,0,40," United-States"," <=50K"
25," Private",112835," Bachelors",13," Never-married"," Prof-specialty"," Not-in-family"," White"," Male",0,0,40," United-States"," <=50K"
29," Private",131714," 10th",6," Divorced"," Machine-op-inspct"," Not-in-family"," Black"," Female",0,0,25," United-States"," <=50K"
31," Private",182237," 10th",6," Separated"," Transport-moving"," Unmarried"," White"," Male",0,0,40," United-States"," <=50K"
47," Private",191978," Some-college",10," Married-civ-spouse"," Exec-managerial"," Husband"," White"," Male",0,0,40," United-States"," >50K"
36," ?",28160," HS-grad",9," Divorced"," ?"," Not-in-family"," White"," Female",0,0,40," United-States"," <=50K"
19," Self-emp-inc",170125," HS-grad",9," Never-married"," Sales"," Own-child"," White"," Male",0,0,40," United-States"," <=50K"
54," Self-emp-not-inc",28186," Bachelors",13," Divorced"," Farming-fishing"," Not-in-family"," White"," Male",27828,0,50," United-States"," >50K"
32," Private",148207," Assoc-voc",11," Married-civ-spouse"," Craft-repair"," Husband"," White"," Male",0,0,40," United-States"," <=50K"
55," State-gov",146326," Masters",14," Married-civ-spouse"," Prof-specialty"," Husband"," White"," Male",7688,0,45," United-States"," >50K"
44," Private",110396," Masters",14," Never-married"," Exec-managerial"," Not-in-family"," White"," Male",14084,0,56," United-States"," >50K"
55," State-gov",256335," Bachelors",13," Divorced"," Exec-managerial"," Unmarried"," Black"," Male",0,0,40," United-States"," <=50K"
40," Self-emp-not-inc",277488," HS-grad",9," Divorced"," Transport-moving"," Not-in-family"," White"," Male",0,0,84," United-States"," <=50K"
55," Private",158702," Some-college",10," Never-married"," Adm-clerical"," Not-in-family"," Black"," Female",0,2339,45," ?"," <=50K"
22," Private",117363," Some-college",10," Never-married"," Adm-clerical"," Not-in-family"," White"," Female",0,0,35," United-States"," <=50K"
27," Private",42734," Some-college",10," Never-married"," Other-service"," Not-in-family"," White"," Male",0,0,25," United-States"," <=50K"
30," Private",381153," Some-college",10," Married-civ-spouse"," Craft-repair"," Husband"," White"," Male",0,0,40," United-States"," <=50K"
60," State-gov",129447," HS-grad",9," Widowed"," Adm-clerical"," Not-in-family"," White"," Female",0,0,35," United-States"," <=50K"
31," Local-gov",58624," HS-grad",9," Never-married"," Transport-moving"," Own-child"," White"," Male",0,0,40," United-States"," <=50K"
32," Private",509350," Some-college",10," Married-civ-spouse"," Handlers-cleaners"," Husband"," White"," Male",0,0,50," Canada"," >50K"
40," Private",353432," 10th",6," Divorced"," Machine-op-inspct"," Not-in-family"," White"," Female",0,0,35," United-States"," <=50K"
42," Private",345504," Assoc-voc",11," Divorced"," Adm-clerical"," Not-in-family"," White"," Female",0,0,35," United-States"," <=50K"
26," Private",247025," HS-grad",9," Married-civ-spouse"," Transport-moving"," Husband"," White"," Male",0,0,65," United-States"," <=50K"
41," Private",126850," Prof-school",15," Married-civ-spouse"," Adm-clerical"," Husband"," Asian-Pac-Islander"," Male",0,0,40," Philippines"," <=50K"
53," Private",124963," HS-grad",9," Divorced"," Handlers-cleaners"," Not-in-family"," White"," Male",0,0,40," United-States"," <=50K"
40," Private",187702," Bachelors",13," Never-married"," Tech-support"," Not-in-family"," White"," Male",0,0,40," United-States"," <=50K"
23," Private",235853," HS-grad",9," Married-civ-spouse"," Transport-moving"," Husband"," White"," Male",0,0,40," United-States"," <=50K"
61," Private",231183," HS-grad",9," Widowed"," Exec-managerial"," Not-in-family"," White"," Female",0,0,40," United-States"," <=50K"
27," Private",173611," Assoc-acdm",12," Never-married"," Sales"," Not-in-family"," White"," Female",0,0,40," United-States"," <=50K"
55," Local-gov",286967," 10th",6," Married-civ-spouse"," Craft-repair"," Husband"," White"," Male",0,0,45," United-States"," <=50K"
38," Private",188503," Some-college",10," Never-married"," Adm-clerical"," Unmarried"," White"," Female",6497,0,35," United-States"," <=50K"
48," Private",94461," HS-grad",9," Widowed"," Machine-op-inspct"," Not-in-family"," White"," Female",0,0,16," United-States"," <=50K"
41," ?",217921," 9th",5," Married-civ-spouse"," ?"," Wife"," Asian-Pac-Islander"," Female",0,0,40," Hong"," <=50K"
23," Private",220993," HS-grad",9," Never-married"," Sales"," Not-in-family"," White"," Male",0,1590,48," United-States"," <=50K"
23," Private",315877," Bachelors",13," Never-married"," Adm-clerical"," Not-in-family"," White"," Male",0,0,30," United-States"," <=50K"
57," Private",180920," 10th",6," Married-civ-spouse"," Craft-repair"," Husband"," White"," Male",0,0,43," United-States"," <=50K"
39," Private",24106," Some-college",10," Married-civ-spouse"," Sales"," Husband"," White"," Male",0,0,40," Philippines"," >50K"
22," Private",311764," 11th",7," Widowed"," Sales"," Own-child"," Black"," Female",0,0,35," United-States"," <=50K"
39," Federal-gov",175232," Some-college",10," Married-civ-spouse"," Handlers-cleaners"," Husband"," White"," Male",0,1977,60," United-States"," >50K"
60," Local-gov",259803," Bachelors",13," Married-civ-spouse"," Prof-specialty"," Wife"," White"," Female",0,0,45," United-States"," >50K"
28," State-gov",175325," HS-grad",9," Married-civ-spouse"," Protective-serv"," Husband"," White"," Male",0,0,40," United-States"," <=50K"
30," Private",220939," Assoc-voc",11," Divorced"," Exec-managerial"," Not-in-family"," White"," Male",0,0,40," United-States"," <=50K"
47," Self-emp-not-inc",94100," Bachelors",13," Never-married"," Farming-fishing"," Not-in-family"," White"," Male",0,0,65," United-States"," <=50K"
39," Private",216149," Prof-school",15," Divorced"," Prof-specialty"," Not-in-family"," White"," Male",0,0,70," United-States"," >50K"
59," Private",157303," Some-college",10," Divorced"," Prof-specialty"," Not-in-family"," White"," Female",0,0,48," United-States"," <=50K"
75," Private",71898," Preschool",1," Never-married"," Priv-house-serv"," Not-in-family"," Asian-Pac-Islander"," Female",0,0,48," Philippines"," <=50K"
56," Private",191917," Assoc-acdm",12," Divorced"," Adm-clerical"," Unmarried"," White"," Female",4101,0,40," United-States"," <=50K"
46," Private",278322," Assoc-voc",11," Married-civ-spouse"," Exec-managerial"," Husband"," White"," Male",0,0,40," United-States"," >50K"
28," Private",192200," Bachelors",13," Married-civ-spouse"," Prof-specialty"," Husband"," White"," Male",0,0,40," ?"," <=50K"
50," Federal-gov",96657," Bachelors",13," Divorced"," Prof-specialty"," Unmarried"," Black"," Female",0,0,40," United-States"," <=50K"
20," Private",249956," Some-college",10," Never-married"," Adm-clerical"," Own-child"," White"," Female",0,0,10," United-States"," <=50K"
44," Private",317320," Some-college",10," Divorced"," Other-service"," Unmarried"," White"," Female",0,0,40," United-States"," <=50K"
40," Federal-gov",391744," HS-grad",9," Never-married"," Adm-clerical"," Unmarried"," Black"," Female",0,0,40," United-States"," <=50K"
46," Private",117605," 9th",5," Divorced"," Sales"," Not-in-family"," White"," Male",0,0,35," United-States"," <=50K"
64," Private",212838," HS-grad",9," Married-civ-spouse"," Sales"," Husband"," White"," Male",0,0,65," United-States"," >50K"
66," Private",271567," HS-grad",9," Separated"," Machine-op-inspct"," Not-in-family"," Black"," Male",0,0,40," United-States"," <=50K"
38," Private",22042," Assoc-voc",11," Never-married"," Prof-specialty"," Not-in-family"," White"," Female",0,0,39," United-States"," <=50K"
45," Private",112362," 10th",6," Married-civ-spouse"," Sales"," Husband"," White"," Male",0,0,40," United-States"," <=50K"
50," State-gov",307392," Masters",14," Divorced"," Prof-specialty"," Unmarried"," White"," Female",0,0,40," United-States"," <=50K"
54," Private",192862," HS-grad",9," Divorced"," Exec-managerial"," Unmarried"," White"," Female",0,0,45," United-States"," <=50K"
56," Private",343849," Some-college",10," Married-civ-spouse"," Transport-moving"," Husband"," Black"," Male",0,0,40," United-States"," <=50K"
40," Private",179508," HS-grad",9," Married-civ-spouse"," Machine-op-inspct"," Husband"," White"," Male",0,0,55," United-States"," <=50K"
37," Federal-gov",329088," HS-grad",9," Married-civ-spouse"," Adm-clerical"," Husband"," Black"," Male",0,0,40," United-States"," <=50K"
41," Self-emp-inc",397280," Bachelors",13," Married-civ-spouse"," Exec-managerial"," Husband"," White"," Male",0,0,72," ?"," <=50K"
32," Private",318647," Bachelors",13," Married-civ-spouse"," Exec-managerial"," Husband"," White"," Male",0,0,48," United-States"," >50K"
39," Self-emp-not-inc",65738," Some-college",10," Married-civ-spouse"," Other-service"," Wife"," White"," Female",0,0,15," United-States"," >50K"
45," Private",192053," HS-grad",9," Married-civ-spouse"," Exec-managerial"," Husband"," White"," Male",0,0,60," United-States"," >50K"
52," Private",174421," Assoc-acdm",12," Divorced"," Prof-specialty"," Unmarried"," White"," Female",0,0,32," United-States"," <=50K"
26," ?",152046," 11th",7," Never-married"," ?"," Not-in-family"," White"," Female",0,0,35," Germany"," <=50K"
50," Private",339954," Assoc-voc",11," Married-civ-spouse"," Craft-repair"," Husband"," White"," Male",0,0,40," United-States"," >50K"
23," Private",260617," 10th",6," Never-married"," Craft-repair"," Not-in-family"," White"," Male",0,0,40," United-States"," <=50K"
23," Private",32950," Bachelors",13," Never-married"," Sales"," Not-in-family"," White"," Male",0,0,40," United-States"," <=50K"
33," ?",152875," Bachelors",13," Married-civ-spouse"," ?"," Wife"," Asian-Pac-Islander"," Female",0,0,40," China"," <=50K"
43," Local-gov",223861," Assoc-voc",11," Divorced"," Exec-managerial"," Not-in-family"," White"," Female",0,0,40," United-States"," <=50K"
52," Local-gov",205767," Masters",14," Married-civ-spouse"," Prof-specialty"," Husband"," Black"," Male",0,0,40," United-States"," >50K"
20," Private",173724," Some-college",10," Never-married"," Handlers-cleaners"," Own-child"," White"," Male",0,0,20," United-States"," <=50K"
30," Private",179112," Bachelors",13," Never-married"," Prof-specialty"," Own-child"," Black"," Male",0,0,40," ?"," <=50K"
65," Private",205309," HS-grad",9," Married-civ-spouse"," Adm-clerical"," Husband"," White"," Male",0,0,20," United-States"," <=50K"
62," Private",208711," Bachelors",13," Married-civ-spouse"," Craft-repair"," Husband"," White"," Male",7688,0,50," United-States"," >50K"
19," Private",530454," HS-grad",9," Never-married"," Other-service"," Not-in-family"," White"," Female",0,0,50," United-States"," <=50K"
43," Self-emp-inc",247981," HS-grad",9," Divorced"," Craft-repair"," Unmarried"," White"," Male",5455,0,50," United-States"," <=50K"
44," Private",43711," Assoc-acdm",12," Married-civ-spouse"," Sales"," Husband"," White"," Male",7688,0,40," United-States"," >50K"
40," Self-emp-not-inc",33068," HS-grad",9," Married-civ-spouse"," Farming-fishing"," Husband"," White"," Male",0,0,50," United-States"," <=50K"
43," Self-emp-not-inc",113211," HS-grad",9," Married-civ-spouse"," Exec-managerial"," Wife"," White"," Female",0,0,40," United-States"," <=50K"
19," Private",63363," Some-college",10," Never-married"," Sales"," Own-child"," White"," Female",0,0,30," United-States"," <=50K"
57," ?",155259," Some-college",10," Divorced"," ?"," Not-in-family"," White"," Female",0,0,40," United-States"," <=50K"
35," Private",166416," Bachelors",13," Married-civ-spouse"," Exec-managerial"," Husband"," White"," Male",0,0,50," United-States"," >50K"
26," Local-gov",150553," Bachelors",13," Never-married"," Adm-clerical"," Own-child"," Asian-Pac-Islander"," Female",0,0,50," United-States"," <=50K"
43," Private",257780," HS-grad",9," Married-civ-spouse"," Adm-clerical"," Husband"," White"," Male",0,0,40," United-States"," <=50K"
49," Private",154451," 11th",7," Divorced"," Machine-op-inspct"," Unmarried"," Black"," Female",0,0,35," United-States"," <=50K"
23," Private",161478," Some-college",10," Never-married"," Other-service"," Own-child"," Asian-Pac-Islander"," Female",0,0,23," United-States"," <=50K"
38," Self-emp-not-inc",67317," Bachelors",13," Married-civ-spouse"," Farming-fishing"," Husband"," White"," Male",0,0,60," United-States"," <=50K"
40," Private",273425," Bachelors",13," Married-civ-spouse"," Exec-managerial"," Husband"," White"," Male",0,0,50," United-States"," >50K"
46," Private",266337," Assoc-voc",11," Divorced"," Craft-repair"," Unmarried"," White"," Male",0,0,40," United-States"," <=50K"
56," Private",182460," HS-grad",9," Married-civ-spouse"," Handlers-cleaners"," Husband"," White"," Male",0,0,40," United-States"," >50K"
38," Private",156728," Bachelors",13," Married-civ-spouse"," Sales"," Husband"," White"," Male",0,0,40," United-States"," >50K"
30," Private",167476," Some-college",10," Married-civ-spouse"," Transport-moving"," Husband"," White"," Male",0,0,60," United-States"," <=50K"
22," ?",269221," Some-college",10," Never-married"," ?"," Own-child"," White"," Male",0,0,40," United-States"," <=50K"
24," Private",123983," 11th",7," Married-civ-spouse"," Transport-moving"," Husband"," Asian-Pac-Islander"," Male",0,0,40," Vietnam"," <=50K"
57," Federal-gov",278763," HS-grad",9," Divorced"," Adm-clerical"," Unmarried"," White"," Female",0,0,40," United-States"," <=50K"
46," State-gov",394860," Bachelors",13," Married-civ-spouse"," Prof-specialty"," Husband"," White"," Male",0,0,38," United-States"," <=50K"
26," Private",154966," Some-college",10," Married-civ-spouse"," Craft-repair"," Husband"," White"," Male",0,0,40," Puerto-Rico"," <=50K"
60," Private",166330," HS-grad",9," Married-civ-spouse"," Other-service"," Wife"," White"," Female",99999,0,40," United-States"," >50K"
45," Private",191914," HS-grad",9," Divorced"," Transport-moving"," Unmarried"," White"," Female",0,0,55," United-States"," <=50K"
52," Private",78012," HS-grad",9," Widowed"," Sales"," Unmarried"," White"," Female",0,1762,40," United-States"," <=50K"
36," Private",150548," HS-grad",9," Never-married"," Machine-op-inspct"," Not-in-family"," White"," Female",0,0,30," United-States"," <=50K"
44," Local-gov",162506," Masters",14," Married-civ-spouse"," Prof-specialty"," Husband"," White"," Male",0,0,35," United-States"," <=50K"
46," Private",503923," HS-grad",9," Married-civ-spouse"," Machine-op-inspct"," Husband"," Black"," Male",4386,0,40," United-States"," >50K"
26," Private",181666," Some-college",10," Married-civ-spouse"," Machine-op-inspct"," Wife"," White"," Female",0,0,40," United-States"," <=50K"
60," Local-gov",138502," Bachelors",13," Married-civ-spouse"," Protective-serv"," Husband"," White"," Male",7298,0,48," United-States"," >50K"
20," Private",235691," HS-grad",9," Never-married"," Sales"," Unmarried"," White"," Male",0,0,40," United-States"," <=50K"
33," Private",96128," 11th",7," Never-married"," Craft-repair"," Own-child"," White"," Male",0,0,40," United-States"," <=50K"
64," Private",192884," Prof-school",15," Married-civ-spouse"," Exec-managerial"," Husband"," White"," Male",0,0,60," United-States"," <=50K"
46," Private",139514," Preschool",1," Married-civ-spouse"," Machine-op-inspct"," Other-relative"," Black"," Male",0,0,75," Dominican-Republic"," <=50K"
